,Text,Date,Mentions,Hashtags,Geolocation
56,"Tomás Pueyo, MBA ’10, was alarmed by the COVID-19 data coming out of China early on. In response, he published an article that quickly gained traction and prompted governments and organizations around the world to take action. ",2020-04-19 22:30:04+00:00,,,
57,"Boris Johnson skipped COVID-19 meetings and ignored scientists' warnings, The Sunday Times reports ",2020-04-19 22:29:55+00:00,,,
58,"Covid-19 Antibody Test, Seen as Key to Reopening Country, Does Not Yet Deliver ",2020-04-19 22:28:23+00:00,,,
59,"“If COVID-19 targets blood vessels, that could also help explain why patients with pre-existing damage to those vessels, for example from diabetes and high blood pressure, face higher risk of serious disease.” #COVID19",2020-04-19 22:24:23+00:00,,#COVID19,
60,They are now very little Covid-19 detailed and have ballooned into a 2+ hr greatest hits rant in a pathetic attempt to distract from the horrible fact the US was left unprepared to deal with the virus on US soil ,2020-04-19 22:23:16+00:00,,,
61,"The need for clean #water, worldwide, heightened by #Covid_19 #pandemic:",2020-04-19 22:15:12+00:00,,#water #Covid_19 #pandemic,
62,"Sadly, they do not make sense. Yes, American workers want to go back to work. But they don’t want to die or pass Covid on to someone else who dies. Economy already in trouble but it’ll bounce back. Accurate testing, more sheltering in place for just one more month – so much safer",2020-04-19 22:14:41+00:00,,,
63,Thousands of Israelis brave COVID-19 health risks to protest against Netanyahu ,2020-04-19 22:09:25+00:00,,,
64,"The pancreatic burden is likely excessive, given that the cytokine storm is acute and produces tremendous insulin resistance. Vicious cycle? DM2 makes COVID-19 more severe and severe COVID makes DM2 much worse? ",2020-04-19 22:08:52+00:00,,,
65,"THANK YOU Between Yang's 155 policies, Your #YangGang hard work and Trump's bungling of Covid people are open to answers.",2020-04-19 22:07:35+00:00,,#YangGang,
66,"""ALL SAN MATEO COUNTY PARKS AND SERVICES ARE CLOSED IN ORDER TO SLOW THE SPREAD OF COVID-19."" https://parks.smcgov.org/",2020-04-19 22:06:19+00:00,,,
67,Standing in harm’s way — essential workers on the front lines of COVID-19 ,2020-04-19 22:05:52+00:00,,,
68,COVID-19: Exercise may protect against deadly complication | EurekAlert! Science News ,2020-04-19 22:03:56+00:00,,,
69,"Of the 81, how many died from Covid-19 and how many just died with Covid-19?",2020-04-19 22:03:49+00:00,,,
70,EXACTLY!!! #Protest #Liberate #Trump #USA #covid_19 #ThisIsAmerica #America https://www.instagram.com/p/B_LbDWohE9p/?igshid=2mcoofmi6egj,2020-04-19 22:02:10+00:00,,#Protest #Liberate #Trump #USA #covid_19 #ThisIsAmerica #America,
71,"Context Discriminant Analysis on latest NEWS 2020/04/19 15:01:52 PST Top level Topics -coronavirus,coronavirus,blockchain,blockchain,covid-19,covid-19 https://www.sitefocus.com/cif/elaine/cdnews_20200419_150152.html",2020-04-19 22:01:52+00:00,,,
72,Tbis guy is trying to avoid a huge lawsuit since he had an entire Smithfield plant of employees with COVID-19. America does not need China owning any food co. here.,2020-04-19 22:00:38+00:00,,,
73,COVID-19 -- is it really about a virus https://youtu.be/rp4wXSku8Ik via @YouTube #coronascam #vaccines #fear #biggovernment #SocialismKills,2020-04-19 21:59:40+00:00,@YouTube,#coronascam #vaccines #fear #biggovernment #SocialismKills,
74,"Here’s an idea for all those ignorant protestors and #FloridaMorons. Put a bracelet on them that can’t be removed and when they show up at the hospital sick with covid symptoms, don’t allow them in. Why should the nurses have to deal with them? #StayHome",2020-04-19 21:56:47+00:00,,#FloridaMorons #StayHome #StayHome,
75,We have some credit card debt we need to pay off @pulte anything would hel me . I’m a front line bank teller with limited hours due to Covid -19 #BailoutHumans,2020-04-19 21:56:34+00:00,@pulte,#BailoutHumans,
76,Players are not immune to Covid-19.. how long will they play behind close doors before realizing it is not a viable option.. a lot of these decisions consider players as Androids who can play on despite conditions.. This is not like playing through rain,2020-04-19 21:54:18+00:00,,,
77,"If it wasn't obvious that FL was under reporting COVID-19 deaths, it is now... 303 NHs reported to have COVID-19 infections but only 175 COVID-19 deaths reported in NHs. A lot of these counties don't have a single COVID-19 death reported in them. https://s33330.pcdn.co/wp-content/uploads/2020/04/LTCF-List.pdf",2020-04-19 21:53:06+00:00,,,
78,"anger against #china globally rising China Check: With China In Credibility Crisis Over COVID-19 Origin, What's Next? ",2020-04-19 21:51:33+00:00,,#china,
79,1(2) Great points & another problem = very hard to separate pathophysiology for mortality due to the nature of the disease. This is most popular post of all time more than 4K views & shared & liked dozens of times. How did this COVID+ MD die from stroke? ,2020-04-19 21:50:00+00:00,,,
80,"The death numbers are very misleading. They are deaths when people had or might have had Covid-19, so the death is attributed to Covid-19. Many would have happened anyway.",2020-04-19 21:49:26+00:00,,,
81,Courage is so beautiful. This is my dear childhood friend Patty who's a member of the first aid squad in New Jersey who's been transporting Covid-19 patients. I'm so incredibly humbled and proud that this is how she's choosing to serve her community. #HonorHeroes.,2020-04-19 21:46:20+00:00,,#HonorHeroes,
82,"I doubt it is a waste - ""pretest probability"" is very important. So, for example, if I was sick with apparent COVID (no hospital needed) and I took this test &amp; it's positive, I would believe it. Would I adjust R0 or fatality ratios at scale to effect my health policy? NO.",2020-04-19 21:45:20+00:00,,,
83,"There are a few strains of the COVID-19 virus, the original one came from China but the one in Italy may have been a mutation. There is a chance that both strains are in the US (and minimal visible action from U.S. Executive/Legislative branches to slow the propagation).",2020-04-19 21:45:10+00:00,,,
84,I’m using #HowWeFeel to help track and fight COVID-19. For each new user HWF is donating a meal through @FeedingAmerica. 294154 meals donated so far! Download it here:,2020-04-19 21:44:37+00:00,@FeedingAmerica,#HowWeFeel,
85,"Don’t confuse them with the facts- let them re-open. MAGAt brains are > 85% amygdala, so they can’t empathize, they can only react. This is why MAGAts only understand things they experience DIRECTLY. Accordingly, MAGAts will need to enjoy COVID-19 firsthand to understand it. Sad.",2020-04-19 21:44:20+00:00,,,
86,"Good after noon everyone, after surviving 2 cancers in my life and having a low immunity due to diabetes. I can say this much I’m a survivor and still breathing! If cancer couldn’t destroy me Covid -19 can’t stand a chance! I’m a student. My job New job was postponed .",2020-04-19 21:43:13+00:00,,,
87,We ⁦published this data on the financial impact we are already seeing from COVID-19. #coronavirus #covid19 #financenews.- Via ⁦@yahoofinance @aarthiswami,2020-04-19 21:43:03+00:00,@YahooFinance @aarthiswami,#coronavirus #covid19 #financenews,
88,"“Gangster in the White House”: Noam Chomsky on COVID-19, WHO, China, Gaz... https://youtu.be/d-6EXZ7yM2E via @YouTube",2020-04-19 21:42:32+00:00,@YouTube,,
89,"Even if we get the tests, track and trace depends on, say, someone who is having trouble paying bills not going to work for 14 days because a public health worker tells him/her that they were near a person with COVID on the bus and thus have to quarantine. Will Americans comply?",2020-04-19 21:40:33+00:00,,,
90,Stop - we need to know cross-reactivity with other common coronaviruses. How frequently will COVID PCR-negative people who have had the common cold (CoV-OC43/229e) test positive on a SARS-CoV-2 Premier or other brand Ab test? This is from their package insert: ,2020-04-19 21:39:54+00:00,,,
91,"We need tech more than ever, but that doesn't mean we are willing to pay for it: When COVID-19 began spreading and forced everyone to stay at home, many discovered Zoom Video Communications Inc. The Silicon Valley ... http://dlvr.it/RV49l8",2020-04-19 21:38:32+00:00,,,
92,"Hubs wearing a cool @ViolentGents shirt, thanks to @stefannoesen . Great way to remind people to continue social distancing until we can find immunity/vaccine against COVID-19 #WeAreInThisTogether #TealTogether #FrontlineFoods",2020-04-19 21:37:52+00:00,@ViolentGents @stefannoesen,#WeAreInThisTogether #TealTogether #FrontlineFoods,
93,I need your help. What is the actual cross-reactivity with other common coronaviruses? How frequently will COVID PCR-negative people who have had the common cold (CoV-OC43/229e) test positive on a SARS-CoV-2 Premier or other brand Ab test? This is from their package insert: ,2020-04-19 21:36:56+00:00,,,
94,"Join us for the 1st installment of our #SafetyGoggles series! Amanda, Kristen, and Nora report from home on new research exploring Antarctica’s tropical past, a COVID-19-related reduction in seismic activity, and translating brain activity into language. http://gogglesoptional.com/episode-311-safety-goggles-1-antarctic-tropics-seismic-calm-and-neural-mind-reading/",2020-04-19 21:34:37+00:00,,#SafetyGoggles,
95,"NOT TRUE. Actually the Covid numbers are much lower than deaths they reflect. People are dying from heart attacks which are 400%. Those aren’t included in Covid #’s. Kidney failure, blood clots, so many deaths caused by Covid aren’t reflected in Covid death #’s.",2020-04-19 21:31:05+00:00,,,
96,"California names nursing homes with COVID-19 cases, over 10% of facilities in Bay Area - KGO-TV http://dlvr.it/RV48gH @navishealth",2020-04-19 21:29:02+00:00,@NavisHealth,,
97,Very interesting. Any idea why they began to collapse starting in 2018 (obviously well before the Covid-19 pandemic began)?,2020-04-19 21:28:20+00:00,,,
98,"This is what a proper protest during a pandemic looks like. Look at that responsible physical distancing. Well done, Israeli protesters! ""Thousands of Israelis brave COVID-19 heath risks to protest against Netanyahu"" ",2020-04-19 21:27:02+00:00,,,
99,"Why do the estimates of COVID-19 lethality seem to vary so much over both space and time? SARS may provide a clue. This 2003 paper says that estimates of the case fatality rate in Hong Kong, Taiwan, and Canada swung around quite a bit before stabilizing. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC180638/",2020-04-19 21:25:51+00:00,,,
100,what people are dreaming about during covid-19 - ,2020-04-19 21:25:44+00:00,,,
101,Did he stop calling it the covid-19 task force event hoax?,2020-04-19 21:25:39+00:00,,,
102,What Trump Knew & When He Knew It: NYT on How Trump Ignored COVID-19 War... https://youtu.be/kKD25397CZQ via @YouTube,2020-04-19 21:25:33+00:00,@YouTube,,
103,"Hey #SJSharks fans, We've had a tragedy. Die hard #SJSharks + Cuda fan, @gerasjs, passed away this weekend after he'd contracted Covid-19. A Go Fund Me has been set up to help his girlfriend @sharksgirl04 + family w/ expenses. Please help if you can:",2020-04-19 21:22:20+00:00,@gerasjs @sharksgirl04,#SJSharks #SJSharks #SJSharks #SJSharks,
104,STIMULUS CHECK SURVEY! Of those of you expecting to get COVID cash from the IRS........,2020-04-19 21:20:49+00:00,,,
105,How many hoopers risking covid to practice their fade away tomorrow after watching the MJ doc tonight?,2020-04-19 21:20:13+00:00,,,
106,"and if covid instead of peaking just keeps going plateauing for over a slow period of time, that also wud be bad news for Trump as the death toll may keep adding up to an unacceptable numbers. that might make him go more berserk than ever",2020-04-19 21:19:24+00:00,,,
107,Property managers are On the front lines... behind the scenes. Property Maintenance During COVID-19 ,2020-04-19 21:16:18+00:00,,,
108,SO MUCH FUCKING MISINFORMATION ABOUT THIS FUCKING COVID SHIT. Fucking dumb man,2020-04-19 21:15:38+00:00,,,
109,the way events are taking a turn here & the expected spike in covid cases in next few months after uncoordinated lockdown eases will be a bad deal for Trump. looks like its getting more wide open election now. If biden chooses M Obama as running mate the deal is almost done.,2020-04-19 21:15:34+00:00,,,
110,We refer to those working in grocery stores and the gig economy as heroes for risking their lives. It's important to understand that many of them are forced into this position to make ends meet. Every single worker must be provided with COVID-19 protection &amp; at least $15/hour.,2020-04-19 21:15:00+00:00,,,
111,Post COVID “war” baby boom? Yes. https://twitter.com/intrinsicinv/status/1251532463630737408?s=21,2020-04-19 21:10:55+00:00,,,
112,"Young and old, everyone is at risk of contracting COVID-19. Help reduce your risk by staying home. #StayHomeSaveLives For more information visit http://www.Fremont.gov/Coronavirus",2020-04-19 21:10:04+00:00,,#StayHomeSaveLives,
113,SYNERGY HomeCare is hiring caregivers and babysitters during the COVID-19 epidemic ,2020-04-19 21:09:17+00:00,,,
114,"New upload - ""Casting Out CORONAVIRUS DEMONS (COVID-19) prophesied in 2018 - Brother Carlos Oliveira Exorcist"" Watch Now: https://youtu.be/QMl_b_UHbbY",2020-04-19 21:08:41+00:00,,,
115,"Check out my latest video ""CAST OUT CORONAVIRUS DEMONS, Deliverance Prayer. Brother Carlos (COVID-19) Prophesied in 2018"" Watch Now: https://youtu.be/lhFKZCLf4T0",2020-04-19 21:07:39+00:00,,,
116,further good news - if youre up for the challenge - from all of this: not only can we get ahead of covid &amp; its mutagenic adaptations but this is a path towards controlling our immune systems.,2020-04-19 21:03:03+00:00,,,
117,"good news: our abilities & understanding of medicine have accelerated in step with technological progress, so a covid vaccine is possible to start producing immediately.",2020-04-19 21:03:01+00:00,,,
118,"Context Discriminant Analysis on latest NEWS 2020/04/19 14:02:07 PST Top level Topics -coronavirus,coronavirus,covid-19,covid-19,health,health https://www.sitefocus.com/cif/elaine/cdnews_20200419_140207.html",2020-04-19 21:02:08+00:00,,,
119, Molecular immune pathogenesis and diagnosis of COVID-19. 2020. J Pharm Anal. https://www.ncbi.nlm.nih.gov/m/pubmed/282863/ #science #research,2020-04-19 21:00:11+00:00,,#science #research,
120,"It’s time to ramp up testing, be well prepared to reopen the economy, and stop the blaming game! NEW YORK WOMAN REVEALS THE TRUTH BEHIND COVID-19 OUT BREAK IN NEW YORK/... https://youtu.be/9X-KH25E_bg via @YouTube",2020-04-19 20:55:44+00:00,@YouTube,,
121,"Moving, powerful thread on deaths in the time of Covid-19. ",2020-04-19 20:55:30+00:00,,,
122,"40,000 Americans have died so far. A beloved aunt is struggling for breath and life because of COVID-19 and she might have been protected. We need a national plan for testing, care and recovery. Press conferences DON'T cut it @WhiteHouse #COVID19",2020-04-19 20:52:57+00:00,@WhiteHouse,#COVID19,
123,"7. ""How the Covid-19 pandemic may reshape U.S. hospital design"" by @jeremyhsu for @undarkmag (Center) Grade 90% | Hsu covers how hospitals have focused on cost-cutting methods, which left them unprepared for surges in capacity. Full story:",2020-04-19 20:47:24+00:00,@jeremyhsu @undarkmag,,
124,"1. ""The problem with the rush to reopen"" by @DanMcGraw1 for @BulwarkOnline (Moderate Right) Grade 80% | McGraw covers how, despite Trump's claims that 29 states could open tomorrow, many states are seeing a rise in the number of COVID-19 cases. Full story: ",2020-04-19 20:47:23+00:00,@DanMcGraw1 @BulwarkOnline,,
125,"Every Sunday, we feature under-reported news stories. These cover topics reported on by less than a handful of news sources, and each has a credibility rating of more than 75%. Today's theme is: Life after COVID-19.",2020-04-19 20:47:22+00:00,,,
126,Genetic tracing 'barcode' is rapidly revealing COVID-19's journey and evolution #coronavirus #COVID19,2020-04-19 20:47:21+00:00,,#coronavirus #COVID19,
127,"Me: why are all the dinos huddled up? Son: they are aren’t doing that Covid social distance thing, &amp; about to go extinct ",2020-04-19 20:37:55+00:00,,,
128,"Chaos by the Bay - #BraveNewWorld #Orwell: "" An odd pattern has emerged in San Francisco as the city responds to the Covid-19 pandemic. The world of the well-off has become tightly restricted by public quarantine orders, and the world of the poor… http://dlvr.it/RV449M",2020-04-19 20:37:33+00:00,,#BraveNewWorld #Orwell,
129,"""COVID forces us to look at attachment at the individual, family and societal level"" -Rana Chawla ",2020-04-19 20:33:49+00:00,,,
130,"They'll only give you a refund if you booked before the WHO said it was a pandemic. If you did after that, it's on you because of course... unless you actually have a doctor's note saying you have COVID-19. Yay!",2020-04-19 20:33:03+00:00,,,
131,What scientists know about Covid-19 immunity can help us fight the pandemic https://qz.com/1837752/ via @qz,2020-04-19 20:32:37+00:00,@qz,,
132,The #StayAtHome breakfast menu + cooking #eggs from @egglandsbest made a delicious start to Sunday. ssafsd @servsafe #foodsafety #stompoutthevirus #bendthecurve #covid #covi̇d19 #SanJose #SiliconValley… https://www.instagram.com/p/B_LQjw_jxpy/?igshid=1ca6qn8wlm0qs,2020-04-19 20:30:28+00:00,@EgglandsBest @ServSafe,#StayAtHome #StayAtHome #eggs #foodsafety #stompoutthevirus #bendthecurve #covid #covi #SanJose #SiliconValley,
133,Telehealth’s Undeniable Impact on the COVID-19 Treatment Strategy @Govdatadownloa1 #GDD19,2020-04-19 20:30:08+00:00,,#GDD19,
134,"But that’s the problem. With this Covid crisis happening, I’m sure a lot of new games they’ve been working on for 2020 had to be pushed back. Why not take advantage of this and add some more games or incentives to NSO to make it more worthwhile in the meantime and make more bank?",2020-04-19 20:29:57+00:00,,,
135,But the biggest beneficiaries of COVID-19 are Video Communication apps (+503%) and Grocery Delivery apps (+337%). The Apps Chart is showing us we’re now communicating through video and ordering food to our doorsteps more than ever before. It's a brave new COVID-19 world. ,2020-04-19 20:28:56+00:00,,,
136,"Apps categories that have been hurt by COVID-19 include Travel (demand down 60%), Airline (-81%), Sports (-75%), and Jobs (-37%). Shopping (+35%), Entertainment Media (+50%), News (+71%), and Education (+192%) have seen a COVID-19 boost. Even Dating is surprisingly up 15%. ",2020-04-19 20:28:54+00:00,,,
137,"For example, COVID-19 has led to Zoom being only the second Business app ever to top the Apps Chart, and it now has more consecutive days at #1 than Fortnite, TikTok, Pokemon Go, Angry Birds, PubG, or Snapchat ever did. Truly unprecedented success on the Apps Chart. ",2020-04-19 20:28:54+00:00,,,
138,New personal musings that examine how COVID-19 has changed consumer behavior as told through data from the iTunes Apps Chart: https://medium.com/@efeng/what-the-itunes-apps-chart-show-us-about-the-post-covid-19-world-709ae63b3237?sk=606e3d942ec8555586b737bc47bbf849. Some of the massive disruptions from COVID-19 are being reflected in changing demand for various categories of mobile apps.,2020-04-19 20:28:53+00:00,,,
