X1,id,FINAL_LABEL,text
154,124935e13,RELEVANT,"Wider sidewalks enables safe distances for people and is easy to do.

#WidenDCSidewalks @DCDOTRA https://t.co/3U0ZC2jg5L"
155,125057e13,IRRELEVANT,Why were you in the store without a mask? Don’t you care about the safety of your fellow man?  That was a rhetorica… https://t.co/EBojKxloQO
156,125058e13,IRRELEVANT,Why haven’t we seen anything on the end of nursing homes? No one is going to want to be in one &amp; no one is going to… https://t.co/CLq7WTkYbs
157,125094e13,IRRELEVANT,Why are we using old solutions to a new problem?  Why don’t we deliver food to people so we don’t create long lines… https://t.co/wh2wQ3D3FI
158,124915e13,IRRELEVANT,While the rich people are at home self quarantining the poor people are out working. If that doesn’t show you who t… https://t.co/KigdPqoqr6
159,125094e13,IRRELEVANT,"While singing the Reading Rainbow theme song tonight, our 7 yr old sang “IIIIIII can’t go anywherrrrrrre...because… https://t.co/lqM29HPb9Y"
160,124936e13,RELEVANT,Where are people buying cloth masks? Are there folks making them in DC?
161,125085e13,RELEVANT,"When we put front-line workers at risk, we put the entire population’s health &amp; safety in jeopardy. To get workers… https://t.co/bkvFfAbo38"
163,125073e13,RELEVANT,We’ve transitioned from wait and see to respond to significant contingency  planning just in case—a major milestone… https://t.co/tbIRcLFOUh
164,124918e13,IRRELEVANT,We supposed to be in the fucking house QUARANTINE stupid ass dummy what happened to SOCIAL DISTANCING
165,125056e13,IRRELEVANT,We’re reminded daily of what we have: our very worst person as president. https://t.co/GHDyK9VfSO
167,124981e13,IRRELEVANT,We’re Serving Smiles here in #hrva 🌐Our student volunteers provided 100+ locally-prepared lunches to the staff at B… https://t.co/ZUdiynB81C
168,12498e14,IRRELEVANT,Well that was a bust. Was at the doctor's getting blood gone &amp; I had trouble coughing. I've never been pushed out o… https://t.co/1Opqmjmysc
169,125096e13,IRRELEVANT,"Well damn, COVID-19 has now infiltrated the county I live in.  Gonna be on high alert now and not even leave the house.  I’m sad..."
170,124919e13,IRRELEVANT,We suppose to be social distancing and the ppl across the street is having a party. &amp;&amp; nobody has on a mask. 🤦🏾‍♀️… https://t.co/OqRmL6QjVT
171,124937e13,IRRELEVANT,We shared some treats with the ICU nurses and staff of Georgetown @medstarhealth! 🍦🎁 🩺 We’re so grateful for their… https://t.co/3Jg3wyEgAm
173,125081e13,IRRELEVANT,We are so ecstatic to be able to continue to provide immediate assistance to those affected by the Coronavirus (COV… https://t.co/sNSTsKuiRe
174,125076e13,IRRELEVANT,We @capitalweather love your outdoor photos📸 especially when they help our forecasts tell the regional weather☀️sto… https://t.co/zCHYkrj1Uj
175,12498e14,IRRELEVANT,"Wake up, America. Liberals are lying about #covid19 deaths. They want to keep us from voting. They don't care if th… https://t.co/5dHIPEeNnl"
176,125015e13,IRRELEVANT,WHO official says she suspected human-to-human transmission ‘right from the start’ — but the WHO repeated China’s l… https://t.co/lynbQ7NYxe
177,125055e13,IRRELEVANT,"Virginia population is 8 1/2 million. We have had 165 deaths and 6,500 cases. Our governor has extended the shut do… https://t.co/bOGGnrf4vq"
180,125081e13,IRRELEVANT,US bishop vows to ‘refuse’ COVID-19 vaccine if made from ‘aborted fetal tissue’ | News | LifeSite https://t.co/u2RRVhG2km
181,125014e13,RELEVANT,Turning pain into power as my family try’s to make sense of my cousins death due to #COVID19. We see memes about bl… https://t.co/Uz8S112P3m
182,125093e13,IRRELEVANT,"Trump on virus tests: ""The federal government shouldn't be forced to do everything."" How about doing anything?"
183,125015e13,IRRELEVANT,Trump is posing a public health threat that must be addressed https://t.co/JSdLI2DqzV
184,125075e13,RELEVANT,"Trump did not close the #economy, the #coronavirus did. #Trump cannot open the economy. Only #testing, #effective… https://t.co/AEnTC8EOGb"
185,125094e13,IRRELEVANT,"Toys for Tots to donate 2 million toys, books, and games to families in need amid pandemic https://t.co/wCbIHMoBQ6"
186,12508e14,IRRELEVANT,Touch Me in The Morning has been removed from my playlist due to Covid 19. Apparently my life now too.  #dianaross… https://t.co/jCNMFhTtRg
187,124954e13,RELEVANT,"Totally agree @robkelner and I would include all of the respiratory therapist, physical therapists, etc and the fol… https://t.co/o47L3QqqY6"
188,124915e13,IRRELEVANT,Took a masked walk today for literally five hours. Everyone was social distancing. Often there were just a few peop… https://t.co/qRUjjXncvM
189,12508e14,IRRELEVANT,"Tonight! Join us for this high impact panel on COVID-19 &amp; Maternal and Child Health, designed for the non-medical c… https://t.co/ppHmjKS2fw"
190,125099e13,RELEVANT,NA
192,124981e13,IRRELEVANT,"To all the charities and people donating to essential workers, it’s not just healthcare employees working right now… https://t.co/jHdZoxC7Z8"
193,125095e13,IRRELEVANT,"To all food service workers, thank you #GoogleDoodle
https://t.co/AqLIPsIk79"
194,124934e13,RELEVANT,"Three of the hardest hit zip codes in Maryland are in Silver Spring, accounting for 383 coronavirus cases. https://t.co/OU6MvOTkSN"
195,12498e14,RELEVANT,Those interested in joining @NIAIDNews sponsored #COVID19 Serosurvey clinical trial to quantify exposure &amp; undetect… https://t.co/8qFzcOPDof
196,125057e13,IRRELEVANT,This woman is standing so close behind me that can't hear my headphones over her ranting about the store employees not wearing face masks.
198,124977e13,IRRELEVANT,This pandemic is exposing the mess US healthcare is. https://t.co/ev0BvhYeiH
199,124981e13,RELEVANT,This pandemic and its disproportionate effects on minority communities is shining a light on environmental racism.… https://t.co/CZitg3nofj
200,124935e13,IRRELEVANT,This is 2020. Fortunate to be sheltered in place with these people. Happy Easter! https://t.co/6xKmq68ZKq
201,125054e13,IRRELEVANT,"This guy had flu like symptoms in the train, no mask, nothing @dcmetrosucks @wmata his stop was Deanwood I didn’t c… https://t.co/gIhwsznY7L"
202,124975e13,IRRELEVANT,This #mondaymention goes out to the @kojoshow! This legendary team is working hard to continue providing their dail… https://t.co/0qjbU7wzaw
205,12487e14,IRRELEVANT,The fact that fucking Donald Trump is making life and death decisions for our country is so terrifying https://t.co/0620o9eTBt
209,125081e13,IRRELEVANT,The county is now accepting applications from county businesses &amp; nonprofits for the Public Health Emergency Grant… https://t.co/b2HpXnsjbI
210,125081e13,IRRELEVANT,"The safest way to complete the #2020Census is now, while we #StayHomeDC together. 

You can fill it out at home wit… https://t.co/Py4vqjhqep"
212,125083e13,IRRELEVANT,The Art Angle Podcast: How Photography Is Being Revolutionized in the Coronavirus Era | artnet News https://t.co/sa1LpM4XJS
213,124868e13,IRRELEVANT,The @WhiteHouse Dr Burke just gave Kudos to @MayorBowser and @GovLarryHogan...thank you for your leadership during… https://t.co/WkAPh1LBJR
214,125078e13,IRRELEVANT,The real MVPs of social distancing https://t.co/CsZTxeyzP8
215,125097e13,IRRELEVANT,The lack of action to fight the spread of the #coronavirus in elderly care facilities across the country is an outr… https://t.co/sXu8OrNqUT
217,12498e14,RELEVANT,There’s a BIG jump in numbers for Fluvanna. They have 62 cases now because of an outbreak in a long term care facil… https://t.co/Wv1DcNCtPO
218,124867e13,IRRELEVANT,NA
219,12498e14,IRRELEVANT,The only reason we have any hand sanitizer in our house is because my mom used to put it in our Christmas stocking… https://t.co/bOQNpetIQ6
220,125077e13,IRRELEVANT,"The curve is definitely bending (ie, velocity of claims is slowing) and UI offices are working hard to get people o… https://t.co/8mrCnoFb4j"
221,124868e13,IRRELEVANT,NA
222,125075e13,IRRELEVANT,The ads come as Trump campaign officials lay plans to try to make the general election campaign more about the Bide… https://t.co/I3FO33RsVx
223,124912e13,IRRELEVANT,The Trump administration has told employers that they don't have to track cases of COVID-19 among their workers.… https://t.co/3K2FpqS04m
224,124974e13,IRRELEVANT,"Thats interesting - the C-Virus daily new case counts start to flatten, so what does the VA State Health dept do? O… https://t.co/VpRDqpCYTU"
225,125058e13,IRRELEVANT,That's the long pole in the tent Chris. Until you beat the virus there is no bringing back the economy. Some will i… https://t.co/48HWLDMNuT
226,125094e13,IRRELEVANT,Thank you for helping put computers in the hands of Computer CORE students as we begin distance learning! Spring2AC… https://t.co/FSiCBAXAQz
227,125076e13,IRRELEVANT,Thank you @wusa9 for highlighting #FeedtheFrontLines and @TwentyTables work to help support the health care heroes… https://t.co/hBgvpFbZdE
228,124917e13,IRRELEVANT,Thank you @Surgeon_General for speaking of the impact of #COVID19 on our #NativeAmerican brothers and sisters: For… https://t.co/qL6tvooSLk
229,125087e13,IRRELEVANT,Thank you @ChrisVanHollen and @AnthonyBrownMD4 for talking today to 32BJ's essential service workers who risk their… https://t.co/FqT9j8H9PP
230,125077e13,IRRELEVANT,Thank you @AmericanAir for extending status and waiving change fees during Covid-19 #travel #aadvantage
235,124866e13,RELEVANT,Social distancing &amp; wearing masks to the grocery store all feels so normal now. It’ll be weird going back to reality once this is all over
236,124869e13,IRRELEVANT,"Social Distancing Virtual Ride. Make the best of it and stay safe. 

#BTP 
#WeGetIt @ Beechtree https://t.co/A1AmvgBx5Z"
237,124915e13,IRRELEVANT,Social distancing for relief payment recipients https://t.co/HPQaEmfCcA
239,124981e13,RELEVANT,Stanford crowdsources county-level #COVID-19 policy data #coronavirus https://t.co/VjHlVx4pEr
240,12498e14,RELEVANT,NA
241,124976e13,RELEVANT,Some upbeat opimistic scenarios for consideration of how the world recovery might take shape. But what if survivors… https://t.co/HLCOXIaKIT
242,125015e13,RELEVANT,"Social distancing With unc B (@ Saint Katherine Greek Orthodox Church in Falls Church, DC) https://t.co/oUwIegTvra https://t.co/Zqvmkvpvps"
243,125013e13,RELEVANT,"Social Distancing 🛹
Wishing I was out cruising the beaches &amp; parks but safe &amp; sound at home. gopro #gopro… https://t.co/9HJX9mty8r"
244,124976e13,IRRELEVANT,So..... what I do know is there was an incident around Simple City and these officers don’t have on any PPE at all… https://t.co/jCyr9U7xZW
245,125056e13,RELEVANT,So where are people going to find masks because there are none available for purchase?????? https://t.co/BvguH092Ky
246,125077e13,IRRELEVANT,So weed and Alcohol can make the Coronavirus worse... https://t.co/d4VrCEfJUz
247,125095e13,IRRELEVANT,So how many people have to say that we need to ramp up testing to get to our new normal my dad’s next door neighbor… https://t.co/2PTstVtWK7
248,124981e13,IRRELEVANT,So grateful to see a story on @WDBJ7 news about a family reunited during pandemic. This quote was shared that is be… https://t.co/y1a2Rb4mJU
249,125061e13,RELEVANT,Small New Study May Provide Clues Into Asymptomatic Carriers Of Coronavirus/COVID-19 via @forbes… https://t.co/qOE6KRmDGK
250,124981e13,RELEVANT,"Since we’re going into warmer weather w/ covid, are we testing the possibility of peer-to-peer transmission via mosquitos? @CDCgov @NIH"
251,124978e13,IRRELEVANT,Since @realDonaldTrump won’t take responsibility for a slow response to #COVID19 he should have zero say in “restar… https://t.co/DfF4nAzCe1
252,125082e13,IRRELEVANT,"Share your #HealthyAtHome tips.

#WashingtonDC city life has benefits, but during #COVID19 is 95% time indoors.

Ti… https://t.co/fRRcjDhMqN"
254,124869e13,IRRELEVANT,Share this graphic to let others know how we can together stop the spread of germs. #StayHomeDC… https://t.co/e77R2NU8X3
255,125087e13,IRRELEVANT,"Share this graphic to help others understand the symptoms of coronavirus (COVID-19). 

#StayHomeDC… https://t.co/WHPwlxzCDY"
256,124978e13,IRRELEVANT,See. It’s people like George that should be scary to others. Those who have it but are completely asymptomatic. Ver… https://t.co/e2VJz4QH0S
259,124952e13,RELEVANT,Researchers have discovered six new coronaviruses in bats in Myanmar -- the first time these viruses have been dete… https://t.co/JnOCf0GT1d
260,125097e13,IRRELEVANT,Republicans take aim at Michigan governor over virus response https://t.co/Vq4GFRvvUs. Gov. Gretchen Whitmer is und… https://t.co/jHb1Z7ZYUU
261,125087e13,IRRELEVANT,Reports confirm Brazil’s Minister of Health has been fired following weeks of tension as he and President Bolsonaro… https://t.co/EnVWvKLzuZ
263,124869e13,RELEVANT,"Reminder that if you’re wearing a surgical mask, you have to pinch the top so that there’s no space between your face and the mask."
264,125075e13,RELEVANT,NA
